"ci","whisker 2.15% (failed)","8.87% (failed)","lower quartile (failed)","delta median (failed)","delta upper quartile (failed)","91.13% (failed)","whisker 97.85% (failed)","mean (failed)","whisker 2.15% (success)","8.87% (success)","lower quartile (success)","delta median (success)","delta upper quartile (success)","91.13% (success)","whisker 97.85% (success)","mean (success)"
"elpi","","","","","","","","",0.001067083629774306,0.002769967865578704,0.0032112452285879634,0.001354398498263889,0.0017510740596064804,0.006676646626342594,0.0008215643039641207,0.004644669692718231
"","","","","","","","","","","","","","","","",""
"",0.0015744355717939814,0.00018841119186574073,0.0016898351707175926,0.0013290302633101854,0.0008191745543981478,0.0045034406750081015,0.0023672107874768405,0.0030847961340336786,"","","","","","","",""
"quickchick","","","","","","","","",0.0012344767541666662,0.003974398039513889,0.0044607601967592584,0.00035380648148148307,0.000864896284722221,0.0062518259056712966,0.0013600425839120347,0.005031356794209911
"","","","","","","","","","","","","","","","",""
"",9.048346666666669e-05,0.00017694045916666665,0.00022411648148148148,0.0004715284780092593,0.001757269050925926,0.0032157468770312495,0.0028313917340856494,0.0015804447255371276,"","","","","","","",""
"coqprime","","","","","","","","",0.001319046961284722,0.0028326264869375003,0.0035541502025462964,0.00028350963541666626,0.0022959810011574087,0.006712304697918981,0.011026232058402767,0.005090874539216675
"","","","","","","","","","","","","","","","",""
"",0.0016632848015162036,0.0003592699423414351,0.0017917155815972221,0.0003191328211805554,0.00021284292534722244,0.0041129995398379625,0.002798541897783565,0.002342399132323091,"","","","","","","",""
"equations","","","","","","","","",0.0016641771885127317,0.0045364776330497686,0.004985118865740741,0.0002860210590277775,0.0002782319473379636,0.00585919802947338,0.0007943040750578705,0.005223251269188451
"","","","","","","","","","","","","","","","",""
"",0.00020968079585648148,0.0001519922868773148,0.00030624083912037035,0.0014015706076388888,0.00132482953125,0.003932309308185184,0.0021287539216782395,0.0024541582783438446,"","","","","","","",""
"flocq","","","","","","","","",0.0009922140000000008,0.004110174875752315,0.00432180712962963,0.0004107685185185178,0.0009968841203703699,0.010545994731307871,0.006987361712673613,0.005847693662349822
"","","","","","","","","","","","","","","","",""
"",0.00011282561668402775,0.00017045630679513886,0.00023531677951388888,0.002014947201967593,0.0008057529021990736,0.0043208115747662024,0.0023719700232581018,0.0020327617943978146,"","","","","","","",""
"math-classes","","","","","","","","",0.002050632812835648,0.004557268222364583,0.005586840104166667,0.0002288105902777766,0.000298644227430556,0.006736598268825233,0.0037998011752488417,0.005935961556910939
"","","","","","","","","","","","","","","","",""
"",0.0016318944406539353,0.0002699674732060185,0.0017969893402777779,0.0028592579340277775,0.0017352388049768526,0.010254246456521971,0.11864090686779512,0.015355683186443772,"","","","","","","",""
"coq-tools","","","","","","","","",0.0010834283366608789,0.004961235026678241,0.0052228399710648145,0.0007625267650462966,0.0038121500983796302,0.010087617129658565,0.0008204219665798596,0.006934292574170199
"","","","","","","","","","","","","","","","",""
"",0.00140750606505787,0.00017547656378240744,0.0015155093692129627,0.0006720283854166672,0.0008325324363425922,0.006091314440497682,0.005070295520682859,0.00408333697051338,"","","","","","","",""
"hott","","","","","","","","",0.0020765654408796295,0.007209049490444445,0.007561558090277778,0.0004619511458333319,0.0009270754629629643,0.010289011106106482,0.003527918563819437,0.00836821609603615
"","","","","","","","","","","","","","","","",""
"",0.0031336297453819447,0.001725227567759259,0.004089906391782408,0.00023871285011574025,0.0004109721412037049,0.005518928228950231,0.002004235786672452,0.004138175605158729,"","","","","","","",""
"analysis","","","","","","","","",0.0013565408411747686,0.006290453341423611,0.007450802407407408,0.0021121737094907406,0.0003411057291666658,0.010308026273508101,0.001091041595607637,0.008984621789546008
"","","","","","","","","","","","","","","","",""
"",0.001982100410717593,0.000300258496662037,0.0021410895312500003,0.00029763630208333317,0.00047566786458333324,0.008272898925465276,0.01994007848808916,0.005214275590373962,"","","","","","","",""
"rewriter","","","","","","","","",0.0012832708227951389,0.009458933911084492,0.009868369050925925,0.0004251658738425937,0.0003958033478009271,0.011170661361101852,0.0012842228716261547,0.010308118872011843
"","","","","","","","","","","","","","","","",""
