initial_size,final_size,total_line_reduction,origin
7591,49,7547,ci-minimization
7326,49,7282,ci-minimization
508,610,181,ci-minimization
7591,49,7547,ci-minimization
727,105,664,ci-minimization
10995,237,10738,ci-minimization
3043,38,3010,ci-minimization
1790,295,1715,ci-minimization
408,42,425,ci-minimization
457,270,258,ci-minimization
164,34,135,ci-minimization
612,24,610,ci-minimization
442,31,416,ci-minimization
3947,79,3908,ci-minimization
618,53,588,ci-minimization
2242,201,2177,ci-minimization
789,729,435,ci-minimization
76,25,56,ci-minimization
457,270,258,ci-minimization
464,474,110,ci-minimization
1932,48,1889,ci-minimization
444,24,443,ci-minimization
4967,51,4957,ci-minimization
552,403,267,ci-minimization
607,1238,-562,ci-minimization
542,475,389,ci-minimization
85,144,104,ci-minimization
534,666,258,ci-minimization
116,1609,-1253,ci-minimization
3429,271,3230,ci-minimization
607,1113,-444,ci-minimization
388,367,227,ci-minimization
3941,9027,-5908,ci-minimization
1645,284,1433,ci-minimization
1111,359,1016,ci-minimization
1111,359,1029,ci-minimization
1200,40,1165,ci-minimization
4034,686,3286,ci-minimization
1049,453,809,ci-minimization
1049,453,809,ci-minimization
808,57,757,ci-minimization
1044,224,1009,ci-minimization
2231,114,2176,ci-minimization
3608,1605,2129,ci-minimization
369,23,352,ci-minimization
5422,1335,2857,ci-minimization
251,105,219,ci-minimization
182,89,160,ci-minimization
3112,26,3091,ci-minimization
1461,113,1443,ci-minimization
4111,1473,2689,ci-minimization
381,67,337,ci-minimization
1727,6,1744,ci-minimization
681,88,671,ci-minimization
839,659,290,ci-minimization
119,17,108,ci-minimization
52,345,-253,ci-minimization
61,488,-268,ci-minimization
568,239,527,ci-minimization
1132,575,180,ci-minimization
1590,876,1079,ci-minimization
4975,156,4860,ci-minimization
4975,156,4860,ci-minimization
934,416,425,ci-minimization
947,407,616,ci-minimization
2561,395,2458,ci-minimization
788,447,428,ci-minimization
139,100,117,ci-minimization
2073,392,1885,ci-minimization
197,147,123,ci-minimization
18,929,-877,ci-minimization
197,147,123,ci-minimization
519,204,506,ci-minimization
407,51,397,ci-minimization
709,21,693,ci-minimization
94,304,93,ci-minimization
280,232,107,ci-minimization
