"ave_f","ave_s","iq10r_f","iq10r_s","iq4r_f","iq4r_s","lower_whisker_10_f","lower_whisker_10_s","lower_whisker_4_f","lower_whisker_4_s","max_f","max_s","min_f","min_s","name","percentile2_f","percentile2_s","percentile91_f","percentile91_s","percentile98_f","percentile98_s","percentile9_f","percentile9_s","q1_of_10_f","q1_of_10_s","q1_of_4_f","q1_of_4_s","q2_of_10_f","q2_of_10_s","q2_of_4_f","q2_of_4_s","q3_of_10_f","q3_of_10_s","q3_of_4_f","q3_of_4_s","q4_of_10_f","q4_of_10_s","q5_of_10_f","q5_of_10_s","q6_of_10_f","q6_of_10_s","q7_of_10_f","q7_of_10_s","q8_of_10_f","q8_of_10_s","q9_of_10_f","q9_of_10_s","upper_whisker_10_f","upper_whisker_10_s","upper_whisker_4_f","upper_whisker_4_s"
587.9173872727268,983.530008300111,442.1661167999994,100.74634200000014,174.38352799999998,42.796464000000014,22.764765,787.513798,22.764765,893.273356,10802.851055,6761.045489,22.764765,606.547322,"compcert",46.45848173399999,857.924572308,657.5478325256001,1041.6689504736,7315.7188895900035,1126.2599553260002,152.578614484,934.2096197812,159.38865220000002,935.328041,211.12837,952.615258,209.77869259999997,947.8350668,261.67353,972.57566,216.85051299999998,956.5647118,385.511898,995.411722,255.59163199999998,964.5637783999999,261.67353,972.57566,267.0850918,979.5971294,339.2643251999999,990.1025712,474.7916028000001,1004.3026209999999,601.5547689999994,1036.0743830000001,831.308128,1185.842566,640.939143,1059.13371
182.10929662222222,191.8263830988646,39.81232700000001,17.29141899999999,17.55348674999999,8.585711000000003,138.290336,164.491371,145.891487,172.295184,886.894657,2640.898687,2.418633,101.651133,"coq-dpdgraph",138.9478355615,171.441529615,192.9315319961,198.33219816099998,198.379344542,207.29460923000005,151.9859032441,179.988074923,152.30794,180.444445,169.66288175,185.12565899999998,168.3774846,183.866893,175.79235649999998,189.7472,171.40277629999997,186.101249,187.2163685,193.71137,174.91366979999998,188.052902,175.79235649999998,189.7472,180.8506268,191.294012,185.0642553,192.902341,188.9257544,194.804485,192.120267,197.735864,198.437048,223.656152,198.437048,206.559586
2284.5252121208796,1209.499077323768,10651.048761,141.66317579999986,946.4061105000001,78.28100825000001,4.974063,935.264097,4.974063,1047.436695,10922.659379,7274.289148,4.974063,724.819599,"coq-performance-tests",44.53823181999999,1115.173737342,10919.972301261,1291.8504174054,10922.301222025,1385.6015621400002,150.66683053299997,1139.9258946757,153.284465,1142.5136377000001,189.231714,1160.788957,184.600576,1155.7419736,879.181126,1190.4989085,204.006477,1166.1638057999999,1135.6378245,1239.06996525,288.889652,1177.1328122,879.181126,1190.4989085,927.443847,1210.762456,1073.362729,1230.3402933,1269.70785,1249.2142322,10804.333226,1284.1768135,10922.659379,1485.496954,1729.552385,1354.758968
4286.654102048386,868.8097757833214,10651.3107608,63.77559500000007,10569.39726525,25.287822500000175,1.079845,745.119224,1.079845,812.735172,10805.531142,2302.78256,1.079845,442.077679,"coq-tools",139.9157200105,825.291849175,10802.811451743699,908.28918467,10803.6032906995,958.9291032149999,150.2989340795,839.121932561,151.4799176,840.3623785,233.1497775,850.4481659999999,167.2736498,848.029454,824.655141,862.235998,279.95074639999996,853.1132164999999,10802.54704275,875.7359885000001,580.0302298,857.987199,824.655141,862.235998,874.4335206,866.794353,10802.479843199999,872.0967244999999,10802.5911786,881.247184,10802.790678399999,904.1379735,10805.531142,997.754118,10805.531142,913.378057
191.39050638461535,219.93612132948374,67.5892517,20.874566000000016,28.444644249999982,10.849866500000019,145.391397,178.054347,145.391397,197.000492,262.575847,925.239354,145.391397,137.263772,"coqhammer",146.05876300699998,196.26297506,220.78590194080002,229.75780679899998,250.13499766350003,243.57962494999998,150.05856842650002,207.111900657,150.9996973,208.091353,177.44791750000002,213.10456299999998,156.9414762,211.731776,199.043471,218.654771,187.04986019999998,214.406776,205.89256175,223.9544295,191.24513000000002,216.601542,199.043471,218.654771,202.31494080000002,220.79028,204.6032616,222.860757,206.6867942,225.262785,218.588949,228.965919,262.575847,259.451102,237.004902,240.155717
237.1213650277778,384.8208586632469,184.2699465,239.23588980000005,67.41628874999998,40.66653400000001,19.359804,187.487074,151.135993,269.551964,533.799477,2940.301161,19.359804,187.487074,"coqprime",30.482576265000002,308.668462888,299.3793054170002,559.3383499288001,531.6856492950001,604.071808324,172.8916886235,317.0801467264,164.6222515,317.8317798,196.5278535,325.221776,193.828999,323.16397,209.6747,335.091956,199.05532849999997,326.97298720000003,263.94414224999997,365.88831,205.576429,330.7320878,209.6747,335.091956,212.863337,343.66399739999997,242.6250095,356.9197572,271.93959,533.3412928,348.892198,557.0676696,533.799477,803.809213,286.296885,421.620259
167.2196072631579,187.95476242707235,40.05788660000002,17.36037860000002,23.83926500000001,8.462954499999995,142.718525,159.300657,142.718525,169.821496,331.403375,987.635666,2.883444,112.841838,"coqtail",115.491890216,170.54535379499998,189.8011839168,195.8598307972,219.13797943600014,205.161415857,145.2740851592,177.365604811,147.2409342,177.936643,155.478804,182.5103785,153.455816,181.12592619999998,171.421397,186.850098,162.1107236,183.59602560000002,179.318069,190.973333,165.902662,185.2313264,171.421397,186.850098,173.37495539999998,188.46718779999998,177.27758699999998,190.069745,181.0311838,192.0865038,187.29882080000002,195.29702160000002,234.01455,220.573445,193.310535,203.621967
207.55055514285718,326.69124244366446,262.6127104,36.30066099999999,133.24145250000004,16.964023999999995,8.16751,261.300081,8.16751,291.068429,337.411576,765.455783,8.16751,170.201619,"coquelicot",10.064368073,284.51531844100003,317.3852270226,346.126316891,337.307626061,372.67727243800005,71.6068643318,308.0170483412,58.7534614,308.8957116,149.8427385,316.447614,144.424028,314.7294918,233.707074,324.582362,152.1378288,318.120734,283.08419100000003,333.411638,183.94808360000002,321.2072418,233.707074,324.582362,240.6289124,327.7177688,259.0518058,331.2227228,298.10152719999996,335.6437316,321.3661718,345.1963726,337.411576,397.613946,337.411576,358.545886
953.7830874893621,1769.7165702429504,1712.1146164000004,193.45352540000022,820.6018924999998,83.28696500000001,39.544958,1502.287624,39.544958,1605.578053,10802.81856,3388.789229,39.544958,1033.906945,"corn",40.74132461100001,1183.874091407,1783.9061660632008,1900.23300246,10716.441416235035,2057.7662717059998,175.66833176240002,1690.6225835452,172.0604062,1694.121478,238.38485450000002,1729.9876855,219.6373828,1720.9362026,531.626856,1769.629969,242.3298542,1738.9658286,1058.986747,1813.2746505,478.1316822,1755.3487532000001,531.626856,1769.629969,718.2179102,1786.6900933999998,1034.522753,1804.4011172,1113.5956582000001,1827.2317154,1884.1750226000004,1887.5750034000002,2950.350945,2169.224384,1990.838832,1937.839165
2826.8145535405415,1015.1892428583596,10710.22114,84.95225679999999,822.5415415,33.94702500000005,9.164633,884.425671,9.164633,938.915008,14542.08701,2349.530619,9.164633,171.775107,"cross-crypto",132.80770364,957.0657456465001,10862.636257348,1066.9451760141,10874.144411205,1135.782717129,150.667684816,975.861708651,151.953364,976.8004773,179.15165050000002,988.1723597499999,171.813107,985.072786,205.028423,1001.4626585,183.247423,990.7696896,1001.6931920000001,1022.11938475,191.9316,996.4900710000001,205.028423,1001.4626585,248.175096,1007.8981501999999,944.674851,1016.4565099000001,10853.093441,1032.660782,10862.174504,1061.7527341,14542.08701,1183.778306,1677.924694,1073.007742
237.3328897619048,275.60999641314015,118.4922158,25.88489960000004,81.94500150000002,13.034272750000014,10.310379,224.632455,146.99992,248.417412,901.051783,871.615632,10.310379,198.832537,"deriving",11.754708665999999,251.29581112399998,366.9653649528997,288.5643098869,853.579348097501,301.093890992,149.49954843999998,261.1054921414,151.51175210000002,261.7528261,155.5552875,267.7251775,153.35512839999998,266.176626,228.0572585,274.4865415,215.98296019999998,269.2950702,237.500289,280.75945025,224.70636960000002,271.9428208,228.0572585,274.4865415,232.2603,276.883089,236.8257206,279.47385660000003,241.48637180000003,282.63647740000005,270.0039679,287.63772570000003,420.234913,323.894194,273.608026,300.288769
822.9046066590909,577.120422868392,366.67270730000007,67.68416520000005,234.6404445,29.910911000000056,12.732835,456.599204,12.732835,522.428643,86401.759056,5226.740331,12.732835,220.599205,"elpi",153.051163542,532.73419782,547.7507852273,619.2689485992,7318.524136079844,654.7445770800008,176.1102719181,545.8033573424,176.7137789,547.0997136,183.98680050000002,557.693356,181.9844786,554.9549204,196.035951,570.607483,185.62657919999998,560.0434162,418.627245,587.604267,189.13948820000002,565.062868,196.035951,570.607483,299.3037301999999,576.3511416,409.5502742,583.3564246,474.58795259999994,593.164552,543.3864862,614.7838788,718.674261,711.180273,718.674261,632.40656
721.2009705967743,765.3305364471099,439.9808548000001,112.957179,358.27737775,56.069186500000114,1.040713,544.077991,1.040713,650.857834,10803.573499,1388.454762,1.040713,204.639899,"engine-bench",140.297535265,686.241411,596.9875186162001,831.17346925,4504.828362366521,902.668367875,150.5803406385,708.7917054750001,151.39334399999998,711.356601,175.73853475,732.9619359999999,171.47277380000003,727.485479,498.20155950000003,761.784458,180.0977623,738.835107,534.0159125,789.0311225,185.92320159999997,750.796113,498.20155950000003,761.784458,514.6823178,771.51978,526.5739325,782.808884,545.0177563999999,795.622385,591.3741988,824.31378,840.086755,979.864377,840.086755,873.119398
209.8150947482519,424.1612545828979,172.22674020000002,46.74457109999997,22.042519000000027,24.23706825000005,1.078394,338.421857,142.981188,373.949381,644.343961,1541.567273,1.078394,245.056536,"equations",142.926154655,390.3172013345,342.8285094332,450.4837144818,411.680932247,477.18055099150024,162.428105827,400.2317468783,164.3367456,401.0351152,175.29460899999998,409.97454925,172.5487818,407.4082874,185.458958,421.9350485,176.52789459999997,412.19199920000005,197.337128,434.21161750000005,181.54317740000002,417.32708479999997,185.458958,421.9350485,188.48996520000003,426.7246214,195.28725559999998,431.90105589999996,204.2427232,437.5331294,336.5634858,447.7796863,429.43102,514.016669,210.932106,469.952984
215.49161730769237,317.8468789108734,276.44877419999995,36.76409709999996,111.2458345,19.35539275000002,10.562398,242.179665,10.562398,277.733439,431.164578,843.181928,10.562398,176.270875,"fcsl-pcm",12.503509195,284.085317704,349.2940748836,335.18326623390004,422.068969992,359.88598832900004,75.1888366342,296.3474342776,73.3288506,297.27367730000003,152.09098749999998,306.163389,150.0619256,303.8189576,228.375774,317.0310455,156.4787656,308.67654699999997,263.336822,325.51878175,226.869418,313.275218,228.375774,317.0310455,232.35477079999998,320.146209,242.0448098,323.636159,287.9869666000001,327.799374,349.77762479999996,334.0377744,431.164578,377.582784,381.461802,354.532919
5567.522252170213,8772.241790516793,10552.5042548,2326.3495681000013,10390.901915,1706.7288422499987,9.921996,4421.221148,9.921996,5537.76059,23367.742937,10788.06537,9.921996,3463.99498,"fiat-crypto",148.19031622050002,6047.125625838,10817.1252008093,10196.987672753,10922.017483870999,10451.412263358501,262.63805410040004,7821.175287984301,263.967414,7851.8197403,421.43873874999997,8076.508879000001,381.97047180000004,8017.896148399999,4716.028098,8622.4053925,476.2516106,8138.8606242000005,10812.34065375,9783.23772125,2791.1633652000005,8284.382446200001,4716.028098,8622.4053925,5774.1921776,8941.8783632,10810.3217912,9586.4384513,10813.1908144,9932.1256484,10816.4716688,10178.169308400002,23367.742937,10788.06537,23367.742937,10788.06537
742.8216641068707,4051.4024977686763,916.922151,496.5362560000003,195.85337849999996,230.16475874999924,10.66354,3289.336235,10.66354,3575.638106,10921.768653,8568.187507,10.66354,395.263771,"fiat-crypto-legacy",144.57797320999998,3792.7307680125,1095.276235575,4369.74703203,10803.520947485,4622.6526542875,154.206103825,3846.55417192,155.342873,3852.1279305,289.9359015,3908.7787195,285.639687,3893.105344,328.491128,3986.355735,293.708116,3924.2204,485.78927999999996,4138.943478249999,303.650223,3953.572015,328.491128,3986.355735,360.503439,4028.828098,449.877435,4094.7951510000003,538.677599,4193.353669,1072.265024,4348.6641865,1981.165056,5081.156165,689.987482,4483.481658
