"ci","whisker 2.15% (failed)","8.87% (failed)","lower quartile (failed)","delta median (failed)","delta upper quartile (failed)","91.13% (failed)","whisker 97.85% (failed)","mean (failed)","whisker 2.15% (success)","8.87% (success)","lower quartile (success)","delta median (success)","delta upper quartile (success)","91.13% (success)","whisker 97.85% (success)","mean (success)"
"",0.00032233937928240804,0.0022569706892476855,0.00246115244212963,0.0005584959027777774,0.003520442957175927,0.01486695041609953,0.018388416450983783,0.0069881007091108305,"","","","","","","",""
"iris","","","","","","","","",0.00692466322361111,0.02534553957148148,0.026079454456018517,0.0007464546180555552,0.0007479197685185159,0.02887802417916667,0.003912107748148139,0.02683104107262435
"","","","","","","","","","","","","","","","",""
"",0.0006356142528877314,0.0017829836026851853,0.002345212471064815,0.00048244232060185195,0.002628890986689815,0.01066803466339236,0.014638825026747656,0.004889192842863155,"","","","","","","",""
"perennial","","","","","","","","",0.0014067621903819487,0.025968590233555557,0.026571257841435186,0.0007520641724537008,0.0008826052314814883,0.029670795682810187,0.004634646104583327,0.02756384920699983
"","","","","","","","","","","","","","","","",""
"",0.0015048110962500002,0.002412257848513889,0.0033909453819444446,0.0007135158101851846,0.0009747425694444454,0.020504534791083332,0.06703655855243026,0.008974180997402891,"","","","","","","",""
"metacoq","","","","","","","","",0.003308429018981481,0.028259390339003473,0.03075830129340278,0.002376933122106479,0.0009746618518518546,0.03558735819608796,0.00456932385092592,0.03261131665876838
"","","","","","","","","","","","","","","","",""
"",0.00018108668636574073,0.00013663665667361112,0.0002752105324074074,0.0013921926388888888,6.908396412037051e-05,0.0018119499538449076,0.00018430395296296248,0.0011454640717592595,"","","","","","","",""
"fourcolor","","","","","","","","",0.0009515981311747634,0.03307434160779398,0.03354083807581018,0.0004148500491898202,0.0005389238975694391,0.03555290789433217,0.003109996764010421,0.03414903936204238
"","","","","","","","","","","","","","","","",""
"",0.0008745367539814816,0.002158937263509259,0.0024660436689814816,0.019122952349537037,0.001618733067129629,0.034907025640518514,0.02347697167824041,0.017547522470869752,"","","","","","","",""
"category-theory","","","","","","","","",0.012855430061805548,0.025973697324043983,0.03786441038773147,0.0006254745543981532,0.0006951530960648128,0.040507086993287034,0.01635753664971057,0.03767945776396853
"","","","","","","","","","","","","","","","",""
"",0.001675701119328704,0.0017850913330439814,0.0033557396006944447,0.0004462410474537033,0.0018205804629629636,0.012665117030381944,0.1194173507814236,0.008597472964199887,"","","","","","","",""
"fiat-crypto-legacy","","","","","","","","",0.0013435551332465212,0.044519990903703704,0.045240982991898146,0.0008973935706018538,0.0017605849739583262,0.05057619011539352,0.005603675717158571,0.04689123261306351
"","","","","","","","","","","","","","","","",""
"",0.00035374089768518526,0.0022390430804467595,0.002325210509259259,9.208214699074103e-05,0.00044858936631944407,0.007665172012106479,0.05187726796984371,0.006280782809124229,"","","","","","","",""
"vst","","","","","","","","",0.002447043652743057,0.046484202686319434,0.04761078274305555,0.0014107527083333307,0.002273677494212971,0.05427453746714815,0.007564070224953694,0.049679659431427554
"","","","","","","","","","","","","","","","",""
"",0.0006655877792071765,0.001896156397510417,0.002362231383101852,0.0014365083101851848,0.004047891073495372,0.03752072843099305,0.1171849351625405,0.014377403847531535,"","","","","","","",""
"bedrock2","","","","","","","","",0.0040319980418749984,0.04316200658779861,0.04597101564236111,0.009384911070601853,0.002601580474537027,0.06487504672425462,0.01013140034234955,0.05313312645748834
"","","","","","","","","","","","","","","","",""
"",0.0018277606163368055,0.002132298795131944,0.0035225392563657406,0.0906001074855324,0.004738140095486107,0.12322963546200694,0.027551950200891212,0.0671341176390312,"","","","","","","",""
"unimath","","","","","","","","",0.02135850011262732,0.07268031776842826,0.08092351505208334,0.009576364971064802,0.009561707667824076,0.10358741094706252,0.009693984888032359,0.08960836786100367
"","","","","","","","","","","","","","","","",""
